date,open,high,low,close,volume
10/16/2022,1309.36,1311.29,1290.61,1293.47,10706188.67
10/16/2022,1293.53,1311.5,1290.8,1307.45,16640286.17
10/16/2022,1307.23,1314.93,1305.41,1308.51,9602075.899
10/16/2022,1308.29,1310.1,1303.11,1304.19,8872057.524
10/16/2022,1303.98,1309.46,1302.33,1305.61,9394481.779
10/16/2022,1305.77,1308.45,1300.67,1302.05,11869769.1
10/16/2022,1302.15,1304.89,1297.8,1303.27,12079881.13
10/16/2022,1303.27,1304.78,1301.46,1303.45,10109419.6
10/16/2022,1303.45,1305.87,1295.35,1297.11,10111472.82
10/16/2022,1296.98,1302.09,1296.27,1299.98,9560380.517
10/16/2022,1300,1301.45,1298.56,1300.12,6659628.173
10/16/2022,1300.06,1300.06,1296.42,1296.96,7552966.75
10/16/2022,1297.09,1302.57,1295.45,1301.67,7282256.679
10/17/2022,1301.67,1303.39,1298.42,1301.59,6207121.873
10/17/2022,1301.6,1306.13,1301.15,1304.86,6541291.53
10/17/2022,1304.78,1308.65,1304.56,1306.53,8772970.053
10/17/2022,1306.4,1309.7,1303.38,1308.46,7962353.173
10/17/2022,1308.45,1312.19,1306.21,1308.35,8423028.593
10/17/2022,1308.2,1310.02,1306.16,1306.8,6822442.16
10/17/2022,1306.93,1314.27,1306.5,1310.14,13600380.23
10/17/2022,1310.3,1314.8,1307.54,1312.24,9254531.551
10/17/2022,1312.23,1313.96,1310.01,1310.15,8895362.594
10/17/2022,1310.38,1311,1307.31,1308.78,8595340.083
10/17/2022,1308.96,1311.81,1308.27,1311.53,6970578.873
10/17/2022,1311.53,1320.9,1311.53,1317.61,12292631.14
10/17/2022,1317.6,1323.7,1317.47,1320.89,12283927.85
10/17/2022,1321.01,1323.26,1318.18,1319.65,6347600.246
10/17/2022,1319.36,1325.9,1317.29,1319.38,10590678.78
10/17/2022,1319.45,1319.7,1314.33,1317.55,7611585.186
10/17/2022,1317.77,1318.57,1313.33,1317.53,7049946.261
10/17/2022,1317.53,1323.05,1316.66,1319.66,7743367.973
10/17/2022,1319.71,1324.5,1318.94,1323.82,9799360.408
