,timestamp,open,close,high,low,tx amt,tx vol
35,01/02/2023,1202.46,1202.5,1203.82,1202.46,300.4719192,361478.402747821
34,01/02/2023,1202.5,1201.36,1202.5,1200.54,205.9600993,247364.047045993
33,01/02/2023,1201.36,1212.83,1218.5,1201.35,1885.8986044,2286676.860469188
32,01/02/2023,1213.32,1212.98,1216.5,1212.33,495.2656509,601278.25880421
31,01/02/2023,1213.16,1215.12,1215.95,1211.98,796.3468288,966244.641168706
30,01/02/2023,1215.12,1215.78,1216.97,1214.53,256.2801803,311593.719432872
29,01/02/2023,1215.78,1217.04,1218.5,1215.55,416.5243293,507021.807467012
28,01/02/2023,1217.04,1217.05,1219.19,1216.87,497.9041925,606309.085555338
27,01/02/2023,1217.05,1218.25,1223.3,1216.31,1132.7795867,1381785.252779718
26,01/02/2023,1218.26,1217.72,1219.11,1217.04,186.7326904,227411.152054404
25,01/02/2023,1217.72,1215.9,1217.82,1215.9,158.4834168,192846.838514092
24,01/02/2023,1215.9,1217.2,1217.27,1214.18,314.6937543,382613.439536909
23,01/02/2023,1217.2,1217.72,1218.57,1216.87,371.9991227,452996.668420665
22,01/02/2023,1217.72,1216.45,1217.92,1216.44,89.1806199,108556.218806082
21,01/02/2023,1216.45,1216.14,1216.79,1215.29,193.9403289,235854.68205981
20,01/02/2023,1216.14,1214.9,1216.14,1213.93,403.4393777,490110.60489895
19,01/02/2023,1214.79,1215.72,1218.01,1214.78,409.9005486,498715.925707669
18,01/02/2023,1215.69,1216.76,1217.03,1214.91,163.2912912,198531.382004651
17,01/02/2023,1216.77,1218.47,1219.8,1215.68,522.7641186,636830.339563894
16,01/02/2023,1218.56,1218.98,1220.77,1218.56,410.6364389,500863.137937695
15,01/02/2023,1218.98,1218.34,1219.64,1218.25,219.1475683,267140.308754132
14,01/02/2023,1218.34,1216.42,1218.45,1216.13,291.255902,354603.038771048
13,01/02/2023,1216.42,1216.83,1217.39,1215.77,224.6323834,273306.964280115
12,01/02/2023,1216.83,1216.97,1217.13,1215.86,154.5381951,188005.561596286
11,01/02/2023,1216.96,1217.77,1218.24,1216.7,139.1427462,169390.139609626
10,01/02/2023,1217.78,1217.96,1219.01,1217.48,135.4641563,165026.686826905
9,01/02/2023,1217.97,1217.32,1218.55,1217.32,126.9230471,154601.947320917
8,01/02/2023,1217.33,1218.83,1219.1,1217.32,203.4837642,247896.051578263
7,01/02/2023,1218.83,1218.3,1218.83,1216.59,279.7060698,340517.4040859
6,01/02/2023,1218.3,1218.35,1218.76,1217.59,163.7504122,199497.141743633
5,01/02/2023,1218.36,1218.43,1219.72,1218.12,170.75689738,208118.6390862234
4,01/02/2023,1218.43,1219.62,1222.57,1218.39,427.2178718,521240.1425245
3,01/02/2023,1219.6,1217.13,1220.14,1217.13,266.9382832,325102.53933237
2,01/02/2023,1217.13,1215.01,1217.78,1210.99,576.37546483,700318.332746314
1,01/02/2023,1215.01,1215.8,1217,1212.8,395.8983456,481156.213161086
0,01/02/2023,1215.62,1213.98,1216.07,1213.38,298.2220643,362211.703536479
47,01/03/2023,1213.98,1214.35,1215.68,1213.08,533.65542,648233.412920614
46,01/03/2023,1214.24,1215.61,1216.62,1214.23,268.8523389,326926.717216315
45,01/03/2023,1215.6,1212.26,1215.69,1211.46,405.2592503,491729.080340909
44,01/03/2023,1212.26,1214.21,1214.41,1211.61,398.1289146,482995.593045425
43,01/03/2023,1214.2,1214.17,1214.8,1213.06,247.2693674,300198.726286928
42,01/03/2023,1214.18,1214.25,1215.33,1214.17,260.0130745,315853.086799509
41,01/03/2023,1214.25,1215.25,1215.74,1213.02,327.4710114,397617.776952286
40,01/03/2023,1215.25,1215.66,1216.33,1215.1,256.1914045,311450.927828365
39,01/03/2023,1215.66,1214.87,1215.85,1214.52,359.2220402,436556.603817285
38,01/03/2023,1214.87,1213.55,1215.03,1213.29,197.8234504,240183.323804382
37,01/03/2023,1213.56,1215.18,1216,1213.52,87.3879271,106153.468980227
36,01/03/2023,1215.18,1217.89,1217.9,1215.17,191.7357015,233369.233955354
35,01/03/2023,1217.89,1219.28,1219.46,1217.44,293.4683008,357559.774106225
34,01/03/2023,1219.27,1216.79,1219.79,1216.51,220.1261935,268045.198328305
33,01/03/2023,1216.8,1215.84,1217.07,1215.32,117.275219,142650.926344293
32,01/03/2023,1215.85,1216.69,1217.01,1215.58,85.5339194,104038.562183627
31,01/03/2023,1216.69,1215,1217.43,1214.4,832.0129248,1011770.202175487
30,01/03/2023,1215,1215.59,1215.97,1213.98,200.5876432,243702.880531307
29,01/03/2023,1215.58,1216.27,1216.76,1215.58,172.889243,210281.521284315
28,01/03/2023,1216.41,1217.37,1218.53,1216.4,317.4345106,386542.8928093
27,01/03/2023,1217.51,1216.66,1218.32,1216.21,150.3155654,182971.253863285
26,01/03/2023,1216.66,1215.78,1216.97,1215.77,92.7392381,112826.430094262
25,01/03/2023,1215.78,1215.85,1215.95,1215.13,107.8145589,131067.113079937
24,01/03/2023,1215.85,1214.85,1216.79,1214.2,191.9605407,233306.701419321
23,01/03/2023,1214.85,1216.05,1216.48,1214.72,190.2545562,231217.72274133
22,01/03/2023,1216.05,1215.27,1216.48,1214.65,172.9234105,210212.638749964
21,01/03/2023,1215.27,1216.04,1217.05,1215.26,261.4733186,318080.521120611
20,01/03/2023,1216.05,1216.49,1217.78,1216,169.2026772,205852.023478083
19,01/03/2023,1216.48,1218.01,1218.47,1216.48,171.1087073,208344.883618751
18,01/03/2023,1218,1210.35,1219.23,1206.51,1491.3367459,1809167.093282308
17,01/03/2023,1210.11,1209.56,1211.71,1207.17,900.390213,1089026.490332419
16,01/03/2023,1209.55,1211.81,1212.09,1207.13,535.5436796,647948.717913635
15,01/03/2023,1212.08,1209.3,1212.79,1207.61,463.6763931,561071.894040702
14,01/03/2023,1209.29,1207.86,1210.53,1207.53,476.2641375,575647.754624469
13,01/03/2023,1207.86,1208.25,1209.8,1207.49,226.4087398,273612.777786395
12,01/03/2023,1208.26,1208.85,1209.58,1207,298.2119672,360250.942623707
11,01/03/2023,1208.85,1209.34,1209.37,1207.22,195.299446,235922.57202383
10,01/03/2023,1209.33,1207.92,1209.33,1206.8,152.5632705,184284.418018825
9,01/03/2023,1207.93,1207.95,1208.67,1205.12,500.6327699,604235.278388456
8,01/03/2023,1207.94,1209.62,1210.6,1206.9,186.6787389,225646.986477836
7,01/03/2023,1209.61,1211.33,1212.4,1209.61,318.6280928,385912.749296406
6,01/03/2023,1211.43,1211.12,1212.62,1210.36,289.6612016,350850.695897759
5,01/03/2023,1211.12,1211.73,1212.13,1210.34,249.6724839,302401.991478569
4,01/03/2023,1211.74,1211.51,1212.36,1210.51,179.6249809,217645.558828422
3,01/03/2023,1211.57,1211.19,1211.84,1210.21,251.9790246,305117.465231973
2,01/03/2023,1211.2,1212.67,1212.9,1209.97,233.1015102,282290.322097214
1,01/03/2023,1212.66,1214.68,1216.1,1212.34,468.8046598,569390.997729794
0,01/03/2023,1214.67,1214.68,1215.13,1214.06,104.484776,126907.879369719
47,01/04/2023,1214.69,1214.77,1215.05,1213.84,221.0937406,268487.941896541
46,01/04/2023,1214.78,1213.5,1214.78,1212.98,238.4672399,289438.202973822
45,01/04/2023,1213.49,1225.81,1227.2,1213.2,1933.6514829,2362801.252647433
44,01/04/2023,1225.82,1224.12,1228,1223.24,462.8962157,567040.07699041
43,01/04/2023,1224.12,1227.3,1229.26,1224.12,689.3270398,845851.019768346
42,01/04/2023,1227.31,1231.45,1233,1227.31,1845.5795339,2271405.622619284
41,01/04/2023,1231.45,1247.56,1254.58,1231.45,5059.92053366,6305423.0519403429
40,01/04/2023,1247.6,1251.03,1253,1246.54,1389.8216289,1736635.961224592
39,01/04/2023,1251.04,1250.28,1254.66,1248.86,1799.1227487,2252567.661325242
38,01/04/2023,1250.29,1250.51,1253.13,1250.28,669.5150697,838215.919952758
37,01/04/2023,1250.51,1248.94,1251.15,1248.1,548.5678861,685357.298233121
36,01/04/2023,1248.94,1248.1,1249.66,1247.47,270.6899454,337891.123235276
35,01/04/2023,1248.11,1249.15,1250.35,1247.46,353.238375,441133.670252722
34,01/04/2023,1249.14,1250.52,1251.46,1248.27,314.5720447,393234.933805916
33,01/04/2023,1250.52,1249.95,1252,1247.81,512.4174998,640611.922211418
32,01/04/2023,1249.96,1252.39,1253.05,1249.27,572.3862761,716315.496539568
31,01/04/2023,1252.3,1249.71,1260.97,1248.85,2140.476431,2685030.833496576
30,01/04/2023,1249.71,1250.74,1251.64,1248.42,362.4634334,453010.14612931
29,01/04/2023,1250.91,1250.93,1251.48,1249.73,183.8564364,229927.931249012
28,01/04/2023,1250.94,1249.91,1251.74,1249.43,869.6633659,1087602.17723617
27,01/04/2023,1249.75,1250.1,1250.35,1249.2,281.199224,351433.590657437
26,01/04/2023,1250.11,1249.9,1250.11,1248.96,234.0619339,292468.455690824
25,01/04/2023,1249.9,1250.11,1250.19,1249.66,252.45176582,315551.9190824698
24,01/04/2023,1250.11,1251.6,1253.48,1250,453.8324822,568018.057115025
23,01/04/2023,1251.59,1254.63,1254.64,1251.14,570.7552827,715130.461166834
22,01/04/2023,1254.63,1250.88,1256.21,1250.39,657.8340372,824254.560427344
21,01/04/2023,1250.88,1252.38,1253.26,1250.87,180.0855337,225501.872783442
20,01/04/2023,1252.38,1253.53,1253.86,1252.24,176.1647432,220732.640058207
19,01/04/2023,1253.52,1252.19,1253.56,1250.11,299.8325924,375341.693123683
18,01/04/2023,1252.18,1251,1254.99,1249.22,1203.358231,1506658.581557525
17,01/04/2023,1250.85,1250.31,1252.89,1243.6,1774.08139592,2214197.8626468862
16,01/04/2023,1250.32,1256.01,1258.08,1249.45,1165.7917962,1462407.84669363
15,01/04/2023,1256,1253.85,1257.41,1250.87,910.0290196,1141325.785589699
14,01/04/2023,1253.86,1253.92,1255,1252.01,340.3663749,426572.439954517
