,timestamp,open,close,high,low,tx amt,tx vol
17,01/08/2022,3215.68,3219.64,3223.2,3192,2474.896499,7941230.2611235349
16,01/08/2022,3219.64,3215.98,3229.52,3206.99,1926.30574185,6199235.1843040304
15,01/08/2022,3215.97,3215.11,3240.56,3208.92,2243.28890095,7226150.3105014716
14,01/08/2022,3215.45,3241.32,3241.34,3215.45,1754.91184028,5662235.664347924
13,01/08/2022,3241.32,3221.17,3247.5,3208.97,2124.16460416,6863134.8418462198
12,01/08/2022,3221.17,3219.75,3223.86,3205.96,1663.94920105,5351039.5683120326
11,01/08/2022,3219.76,3201.97,3230.23,3193.54,2742.84673897,8808207.0889727595
10,01/08/2022,3201.97,3200.21,3208.7,3177,3027.63957157,9675520.9413543745
9,01/08/2022,3200.22,3176.51,3206.11,3175.5,2348.32304809,7495025.8383617694
8,01/08/2022,3176.52,3160.59,3183.74,3145.61,5792.97021346,18303073.4794045903
7,01/08/2022,3160.59,3129.08,3180.35,3122.35,7551.02901878,23833507.0830251069
6,01/08/2022,3128.88,3040.02,3135.6,3035.78,7666.29592793,23670134.7540537744
5,01/08/2022,3040.14,3008.33,3080.85,3000,14724.86030853,44779126.6960588558
4,01/08/2022,3008.32,3028.96,3057,2998.49,6811.03481648,20577652.4065037922
3,01/08/2022,3027.88,3031.61,3053.3,3003.31,5866.9142885,17793248.6755125578
2,01/08/2022,3032.03,3078.66,3103.28,3024.3,9843.25619934,30092343.9162033306
1,01/08/2022,3078.66,3118.05,3133.56,3075.3,4738.84056756,14725236.0376000979
0,01/08/2022,3118.05,3081.05,3119.6,3078.31,4251.48673729,13177100.9776569
23,01/09/2022,3081.05,3119.57,3121.39,3057.83,3966.60920225,12234080.8354295708
22,01/09/2022,3119.49,3114.81,3134.79,3090.1,3078.38342065,9574457.6193327378
21,01/09/2022,3115.21,3136.8,3153.92,3110.41,5143.97848802,16111862.8603048687
20,01/09/2022,3136.76,3120.4,3144.99,3118.2,2634.32517181,8250692.637781958
19,01/09/2022,3120.4,3140.99,3143,3113.7,2239.05949651,7006496.5368763721
18,01/09/2022,3140.94,3123.4,3155.2,3119.01,3120.13011289,9788305.8869621477
17,01/09/2022,3123.4,3137.72,3141.24,3118.62,1886.65765294,5907455.8067157272
16,01/09/2022,3137.73,3127.25,3140.28,3121.86,1831.708422,5735669.6198573783
15,01/09/2022,3126.98,3107.98,3139.3,3104.2,2408.41059634,7514574.8776649807
14,01/09/2022,3107.98,3097.51,3116.15,3093.61,2618.5778281,8128487.7163684241
13,01/09/2022,3097.3,3106.85,3111,3084.5,2824.37030286,8747895.5345278308
12,01/09/2022,3106.84,3129.89,3133.77,3106.38,2489.77934159,7775065.1450352888
11,01/09/2022,3128.86,3109.62,3135.36,3104.48,2242.86543076,6987907.2165315727
10,01/09/2022,3109.77,3085.93,3129.1,3085.93,2593.15029186,8049766.7975503448
9,01/09/2022,3085.92,3098.1,3116,3085.65,2371.76214472,7351037.46590715
8,01/09/2022,3097.81,3098.59,3104.51,3071.49,4711.81608088,14554722.1435588713
7,01/09/2022,3097.92,3160.54,3161.26,3092.72,3955.55909784,12342756.7462022514
6,01/09/2022,3160.53,3165.8,3177,3148.7,6841.34406534,21639444.622342124
5,01/09/2022,3166.42,3169.65,3180,3165.08,4416.03023794,14005344.1625021987
4,01/09/2022,3169.83,3203.61,3209.4,3162.74,4963.95935789,15851177.020033774
3,01/09/2022,3203.76,3196.16,3210.8,3193.22,3700.21601353,11848920.4267594799
2,01/09/2022,3196.16,3189.14,3204.39,3181.2,3140.49819347,10036475.4736249438
1,01/09/2022,3189.14,3179.03,3200.09,3172.94,2008.91172195,6402923.8042187681
0,01/09/2022,3179.03,3151.57,3184.76,3144.61,5340.24261578,16870643.015675157
23,01/10/2022,3152.15,3137.55,3170.89,3133.4,6366.76949168,20077972.3394139293
22,01/10/2022,3137.55,3151.77,3153.53,3111.8,4896.24546922,15380617.9412591525
21,01/10/2022,3151.77,3153.98,3159.98,3142.11,1635.2216498,5155549.5696218453
20,01/10/2022,3153.98,3155.01,3157.58,3147.55,1444.37321387,4553236.7475458323
19,01/10/2022,3155.01,3174.86,3181.45,3151.71,3286.39832194,10420622.814269392
18,01/10/2022,3174.86,3174.2,3180.99,3167.9,2277.34342579,7227904.7492909561
17,01/10/2022,3174.21,3161.65,3176.17,3155.61,3917.37855394,12396763.1060254618
16,01/10/2022,3161.65,3162.87,3174.75,3155.41,2271.69589586,7188814.0106724334
15,01/10/2022,3163.23,3144.31,3169.69,3138.43,2971.21992558,9361039.4048929416
14,01/10/2022,3144.77,3146.87,3159.01,3140.55,1586.31365994,4997151.825620254
13,01/10/2022,3146.51,3139.44,3168.14,3138.12,1794.94622631,5659748.3060959543
12,01/10/2022,3138.7,3104.94,3140.01,3094.73,4057.95548846,12620120.1670278062
11,01/10/2022,3104.93,3032.03,3110.57,3030.87,4310.95435504,13234248.4439129294
10,01/10/2022,3031.12,3021.55,3047.73,3011.81,4662.75316523,14125278.7830133751
9,01/10/2022,3021.55,3020.4,3049.39,2928.76,17388.93685952,51901601.2931905969
8,01/10/2022,3019.6,3005.3,3034.8,2981,9783.67039045,29421294.5415595893
